,Receiver,Description,Country,Year,Grant Size (DKK),Category
210,Trussell Trust,"COVID-19 respons - Madstøtte og
madrationer",England,2020,82,Community Engagement         
211,Water Research Commission,"COVID-19 respons - Overvågning af ikke-
kloakerede lokalsamfund",Sydafrika,2020,366,Community Engagement         
212,Aleimar OdV,"Next to children, gentænkning af didaktiske metoder efter nedlukning",Italien,2020,710,Community Engagement         
213,Rural Development Organization,"COVID-19 respons - sygdomsforebyggelse i
Iringa-regionen",Tanzania,2020,1259,Community Engagement         
214,"American Red Cross of Central
California",Nødhjælp efter skovbrande i Californien,USA,2020,316,Community Engagement         
215,Hand in Hand India,Vandforsyning i Jethalaj,Indien,2020,86,Community Engagement         
216,Hand in Hand India,"Vandinfrastruktur i Khorai, Zlapur og Gujarat",Indien,2020,278,Community Engagement         
217,Hand in Hand India,Vandforsyning i Tamil Nadu,Indien,2020,82,Community Engagement         
218,ACE Charity,"COVID-19 respons - Fjernundervisning via
radio II",Nigeria,2020,503,Community Engagement         
219,GROOTS Kenya,Vandprojekter ledet af kvinder,Kenya,2020,348,Community Engagement         
220,Aldershot Bokseklub,Sportsaktiviteter for udsatte unge,England,2020,41,Community Engagement         
221,"SOSNPO, Save Our Schools, SA","COVID-19 respons - Håndvaskestationer og
sundhedskommunikation",Sydafrika,2020,224,Community Engagement         
222,Nazarene Compassionate Ministries,"COVID-19 respons -Hygiejneindsats på 3
børnehjem",Eswatini,2020,63,Community Engagement         
223,Rector Cares Foundation,Soldrevet vandforsyning til lokalsamfund i Obuofia,Nigeria,2021,465,Community Engagement Grants
224,COLANDEF,Ghana Water Initiative - bedre sanitære forhold i Abomosu,Ghana,2021,186,Community Engagement Grants
225,Yidu Muncipal Red Cross,Badefaciliteter på plejehjem i Yidu City,Kina,2021,375,Community Engagement Grants
226,Proyecto Agua Segura,Vand og hygiejnetræning til bekæmpelse af COVID-19,Argentina,2021,842,Community Engagement Grants
227,Water and Life Philippines,Vand og sanitet i slumområder i Cebu,Filippinerne,2021,372,Community Engagement Grants
228,Xishui County Red Cross,Drikkevandsforsyning til landsbysamfund nær Xishui,Kina,2021,373,Community Engagement Grants
229,International Water and Development Consultancy (IWDC),Udskiftning af håndpumper med soldrevne vandsystemer i Nuba Hills,Sydsudan,2021,411,Community Engagement Grants
230,GIve Back Ghana,Mad og hygiejnepakker til beboere i Old Fadama,Ghana,2021,314,Community Engagement Grants
231,World Vision China Foundation Limited,Adgang til vand og hygiejneoplysning i kinesiske landdistrikter,Kina,2021,261,Community Engagement Grants
232,Ungdommens Røde Kors,Sommerlejr - Frøen,Danmark,2021,40,Community Engagement Grants
233,Dream Farm Kyakabunga Group,Bæredygtig landbrugsudvikling i Kyakabunga,Uganda,2021,334,Community Engagement Grants
234,The Water Well Trust,Adgang til vand efter skovbrande i Californien,USA,2021,745,Community Engagement Grants
235,Agua Por La Vida,Vandfiltreringstårne til skoler i Quipile og Cumaral,Colombia,2021,469,Community Engagement Grants
236,Danske Skoleelever,Undervisningsmateriale om bæredygtighed,Danmark,2021,446,Community Engagement Grants
237,Blue Gold Works Inc.,Soldrevet vandsystem og kunstvanding til Gurbi,Ghana,2021,373,Community Engagement Grants
238,FANT - Football for A New Tomorrow,Skabe selvstændige piger gennem sport,Ghana and Sierra Leone,2021,1296,Community Engagement Grants
239,SA.LA.MA (Santé par la Langue Maternelle),Soldrevet vandsystem og kunstvanding til Kar Hay,Cameroun,2021,319,Community Engagement Grants
240,HOPin Academy,Renovering af sundhedsklinik i Nanton,Ghana,2021,385,Community Engagement Grants
241,Patch Farms,Kunstvanding på landbrugsskole for udviklingshæmmede,USA,2021,757,Community Engagement Grants
242,Asociacion Cooperadora del Establecimiento Educatvo E.P. No 12 del Distrito de Tigre,Bæredygtig ø-skole og forsamlingshus i Tigre-deltaet,Argentina,2021,968,Community Engagement Grants
243,Energy 4 Impact,Soldreven kunstvanding til landbrug i de mindst udviklede regioner,Tanzania,2021,962,Community Engagement Grants
244,Safe Water Network,Udvikling af kommercielt levedygtige vandløsninger,Ghana,2021,595,Community Engagement Grants
245,NuevaLife,Soldrevet elforsyning til huse og fodboldbane,Colombia,2021,131,Community Engagement Grants
246,Sustainability Steps Association,SDG-inspirationsworkshops til unge ingeniører,Tyrkiet,2021,260,Community Engagement Grants
247,Rainbow Trust Foundation,Etablering af biblioteker på 5 skoler i distrikterne omkring Accra,Ghana,2021,869,Community Engagement Grants
248,ACE Charity,Vand og sanitet til læringscentre,Nigeria,2021,739,Community Engagement Grants
249,Fundacion Club Universitario de Buenos Aires,Uddannelse og sport: social inklusion efter sundhedskrisen,Argentina,2021,521,Community Engagement Grants
250,Beyond The City,Karriereplanlægning for studerende fra landdistrikter,Kina,2021,208,Community Engagement Grants
251,Makueni Aloe Vera Farmer Self Help Group,"Adgang til vand samt forbedret landbrug, sundhed og ernæring.",Kenya,2021,375,Community Engagement Grants
252,"Aalborg Universitet, Institut for Kemi og Biovidenskab",Grundfosprisen 2021 forskningsmidler,Danmark,2021,750,priser
253,Professor Mads Albertsen,Grundfosprisen 2021 - personlig anerkendelse,Danmark,2021,250,priser
254,3 studerende,Grundfosprisen 2021 - studenterpriser,Danmark,2021,75,priser
255,28 Grundfos-ansatte,2021 Grundfos People Awards,Global,2021,675,priser
256,NuevaLife Foundation,2021 Grundfos Community Engagement Award,Colombia,2021,149,priser
257,PlanBørnefonden,Flygtningesamfund i Gambella,Etiopien,2021,12450,Vand og Bæredygtig Udvikling
258,UNICEF,Landsbysamfund i det vestlige Tanzania,Tanzania,2021,22548,Vand og Bæredygtig Udvikling
