,Title,Project Category,Receiver Name,Grant size (DKK)
137,Vi bygger bro over kløfter mellem mennesker og fællesskaber (2024),Sociale indsatser,Frivilligcentre og Selvhjælp Danmark (FriSe),5 mio. kr.
138,Mangfoldige seniorfællesskaber (2024),Sociale indsatser,Dansk Flygtningehjælp,"2,3 mio. kr."
139,Bogudgivelse: Danske øer (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),20.000 kr.
140,Bogudgivelse: En dyrlægesøns erindringer (2024),Voksenlivets overgange og forandringer,De Berejste I/S,20.000 kr.
141,Bogudgivelse: Hvad vi alle kan se på himlen (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),20.000 kr.
142,Bogudgivelse: Kollektivbutikken Elverhøj (2024),Voksenlivets overgange og forandringer,Bogforlaget Frydenlund,30.000 kr.
143,Bogudgivelse: Kun døde fisk flyder med strømmen (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),19.000 kr.
144,Bogudgivelse: Skolen for livet - N.F.S. Grundtvigs højskoleskrifter (2024),Voksenlivets overgange og forandringer,Aarhus Universitetsforlag,35.000 kr.
145,Bogudgivelse: Ensomme træer (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),10.000 kr.
146,Bogudgivelse: Middelalderlige stenhuse i Viborg (2024),Voksenlivets overgange og forandringer,Jysk Arkæologisk Selskab,25.000 kr.
147,Bogudgivelse: Når enighed gør svag (2024),Voksenlivets overgange og forandringer,Forlaget Eftermiddag,25.000 kr.
148,Bogudgivelse: Ny dag (2024),Voksenlivets overgange og forandringer,Bogforlaget Frydenlund,20.000 kr.
149,"Bogudgivelse: Din længsel, Skule - Skule Pontoppidans længsel - Rejsen mod eventyret i Argentina (2024)",Voksenlivets overgange og forandringer,Forlaget Eftermiddag,17.000 kr.
150,Bogudgivelse: Dør vi når vi vil? - en værdig død (2024),Voksenlivets overgange og forandringer,Forlaget Kahrius,20.000 kr.
151,Bogudgivelse: Café Crème (2024),Voksenlivets overgange og forandringer,Forlaget Sie,5.000 kr.
152,Bogudgivelse: Ø - Haikusamling (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),10.000 kr.
153,Bogudgivelse: Historieguide til weekend i Berlin (2024),Voksenlivets overgange og forandringer,Tembo Publishing Cph,10.000 kr.
154,Bogudgivelse: Snørklede forgreninger (2024),Voksenlivets overgange og forandringer,Forlaget Hedwig ApS (Mellemgaard),15.000 kr.
155,"Bogudgivelse: Kan man dø, når solen skinner? (2024)",Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),14.000 kr.
156,Bogudgivelse: Hedens folk (2024),Voksenlivets overgange og forandringer,Forlaget Hovedland,15.000 kr.
157,Bogudgivelse: Sydskolen - en skole for alle (2024),Voksenlivets overgange og forandringer,Albertslund Lokalhistoriske Forening,25.000 kr.
158,Bogudgivelse: Villa Diodati - Frankensteins skriveværksted (2024),Voksenlivets overgange og forandringer,Forlaget Falco,25.000 kr.
159,Bogudgivelse: Og de så - Johannes' Åbenbaring vers for vers (2024),Voksenlivets overgange og forandringer,ProRex Forlag,20.000 kr.
160,"Bogudgivelse: Carsten Frank, Citroner om natten, Ord & Kunst (2024)",Voksenlivets overgange og forandringer,Forlaget LAND,20.000 kr.
161,Anskaffelse af motionsredskaber (2024),Voksenlivets overgange og forandringer,Andelsboligforeningen - Bovieran Solrød,35.000 kr.
162,Anskaffelse af stereomikroskop (2024),Voksenlivets overgange og forandringer,Sommerfuglebevægelsen,25.000 kr.
163,Rundsav til Trægruppen (2024),Voksenlivets overgange og forandringer,Folkehuset Beder,22.000 kr.
164,Oplægsholdere eller kurser for medlemmer (2024),Voksenlivets overgange og forandringer,Parkinsonklub Amagerland,10.000 kr.
165,Krolfskur (2024),Voksenlivets overgange og forandringer,Senior Idræt Seest,5.500 kr.
166,Verdensmål og viden på Hillerød Bibliotek (2024),Voksenlivets overgange og forandringer,Verdensmålsgruppen - Hillerød,23.000 kr.
167,Indkøb af udstigningsbøjle til kajak og montering på bro (2024),Voksenlivets overgange og forandringer,Ebeltoft Ro- og kajakklub,7.500 kr.
168,Kursusgebyr og maleudstyr (2024),Voksenlivets overgange og forandringer,Solrød Kunstforening og Billedskole af 2006,24.000 kr.
169,Tilskud til foredrag (2024),Voksenlivets overgange og forandringer,Tryghedstjenesten- Alene-Hvad Nu Holstebro,17.000 kr.
170,Nyt værktøj til foreningens værksted (2024),Voksenlivets overgange og forandringer,Foreningen Løkken Miniby,22.000 kr.
171,Anskaffelse af Sekment pladebukker (2024),Voksenlivets overgange og forandringer,Det Historisk Arbejdende Værksted i Holeby,50.000 kr.
172,Gulv og maling (2024),Voksenlivets overgange og forandringer,Lildstrand Billard og Bordtennisklub,53.000 kr.
173,1 dobbelt coastal-båd (2024),Voksenlivets overgange og forandringer,Flensborg Roklub,33.000 kr.
174,Ny gig-fire til Ældre(60+) (2024),Voksenlivets overgange og forandringer,Sorø Roklub,60.000 kr.
175,4-årers inrigger til seniorroning (2024),Voksenlivets overgange og forandringer,Sønderborg Roklub,50.000 kr.
176,Inspirerende overgange til den 3. alder (2024),Voksenlivets overgange og forandringer,den2radio.dk,40.000 kr.
177,Renovering af broanlæg (2024),Voksenlivets overgange og forandringer,Færgehagens Bådelaug,75.000 kr.
178,Bogudgivelse: Historien om kunstværket Dodekalitten (2024),Voksenlivets overgange og forandringer,Bogforlaget Frydenlund,50.000 kr.
179,Impact Lab 2.0 (2024),Human- og samfundsvidenskabelig forskning og kultur,Københavns Universitet,"2,5 mio. kr."
180,Bogudgivelse: Se musikken og hør dansen (2024),Voksenlivets overgange og forandringer,Skriveforlaget (Egolibris),30.000 kr.
181,Bogudgivelse: Jernværftet. Svendborg Skibsværft 1926-1996 (2024),Voksenlivets overgange og forandringer,Syddansk Universitetsforlag,25.000 kr.
182,Bogudgivelse: Velkommen til verden (2024),Voksenlivets overgange og forandringer,Forlaget Fanefjord,25.000 kr.
183,Bogudgivelse: Fra synål til kanonkugler (2024),Voksenlivets overgange og forandringer,Forlaget Fanefjord,10.000 kr.
184,Bogudgivelse: Andersen & Aarestrup (2024),Voksenlivets overgange og forandringer,Historia Group Forlag Aps,16.000 kr.
185,Bogudgivelse: Ingen Jesus uden Paulus. Da Jesus fik historisk betydning (2024),Voksenlivets overgange og forandringer,Forlaget Eksistensen,7.500 kr.
186,Bogudgivelse: Juledrys - hyggelige og muntre juleminder fra engang (2024),Voksenlivets overgange og forandringer,Kleart,10.000 kr.
187,"Bogudgivelse: Harald Slott-Møller (1864-1937), den første monografi om den alsidige kunstner (2024)",Voksenlivets overgange og forandringer,Gads Forlag,35.000 kr.
188,Bogudgivelse: Vores tid på Hørby - historie og anekdoter (2024),Voksenlivets overgange og forandringer,Hørby Efterskole,20.000 kr.
189,"Bogudgivelse: Livsdemokratiet - en stemme til fremtiden, verden og livet på Jorden (2024)",Voksenlivets overgange og forandringer,Forlaget Fjordager,16.000 kr.
190,Bogudgivelse: Min polkaprikkede hjerne (2024),Voksenlivets overgange og forandringer,Forlaget Superlux,10.000 kr.
191,Bogudgivelse: Et spørgsmål om evolution og andre historier (2024),Voksenlivets overgange og forandringer,Andelsforlaget Ravnerock,10.000 kr.
192,KildeIndtastningsprojekt (2024),Voksenlivets overgange og forandringer,Danske Slægtsforskere Hillerød,22.500 kr.
193,Blues fra Fyn (aktivitet & cd) (2024),Voksenlivets overgange og forandringer,Forlaget Skulkenborg,10.000 kr.
194,Støtte til IT system (2024),Voksenlivets overgange og forandringer,Assens Seniorbridge,12.000 kr.
195,Turkajakker til begyndere og let øvede (2024),Voksenlivets overgange og forandringer,Sminge Sø Kajakklub,70.000 kr.
196,Folkehuset Skødstrup - anskaffelse af nyeste Højskolesangbog (2024),Voksenlivets overgange og forandringer,Brugerrådet ved Lokalcenter Rosenbakken,24.000 kr.
197,Nye klæder til billardborde (2024),Voksenlivets overgange og forandringer,Holstebro Billard Klub,25.000 kr.
198,Fra gammelt toiletskur til praktisk depot (2024),Voksenlivets overgange og forandringer,Kronhede Forsamlingshus,30.000 kr.
199,Laser skærring og gravering (2024),Voksenlivets overgange og forandringer,Centerrådet Kildebakken,20.000 kr.
200,Sommerhøjskole i Risskov (2024),Voksenlivets overgange og forandringer,FO-Aarhus,15.000 kr.
201,Mandø Natursamling. Genskabelse/nytænkning af tidligere ornitologisk samling (2024),Voksenlivets overgange og forandringer,Mandø Fællesråd,142.000 kr.
202,Robåd af typen LiteQuattro (2024),Voksenlivets overgange og forandringer,Hvidovre Roklub,80.000 kr.
203,Totalrenovering af billardborde (2024),Voksenlivets overgange og forandringer,Thisted Billard Klub,40.000 kr.
204,"Dagsarrangementet ""Haven gennem 100 år"" (2024)",Voksenlivets overgange og forandringer,Haveselskabet,50.000 kr.
205,Opdatering af udstilling i Besøgsbigården (2024),Voksenlivets overgange og forandringer,Langelands Biavlerforening,44.000 kr.
206,"Offentligt-privat partnerskab i Solid Waste Management i Kétao, Togo (2024)",Voksenlivets overgange og forandringer,Ingeniører uden Grænser,17.000 kr.
207,Nyt brugt billardbord til A-huset (2024),Voksenlivets overgange og forandringer,Brugerrådet for A-Huset,10.000 kr.
208,Schoolgirls social and menstrual education in Malawi (2024),Voksenlivets overgange og forandringer,Seniorer Uden Grænser - Landsrådet,13.000 kr.
209,Efteruddannelse og kompetence opgradering af frivillige senior sparringspartnere (2024),Voksenlivets overgange og forandringer,Foreningen netvaekst.dk,70.000 kr.
210,Anskaffelse af redskaber til motionsaktiviteter (2024),Voksenlivets overgange og forandringer,RådhuscenterRådet,5.000 kr.
211,Anskaffelse af maskiner til træværksted og PC og printer (2024),Voksenlivets overgange og forandringer,Mænds Mødesteder Nyborg,22.000 kr.
