,Receiver,Description,Grant size (DKK),Year
59,Slots- og Kulturstyrelsen,"Slots- og Kulturstyrelsen har modtaget 7,7 mio. kr. til projektet ""Den kongelige køkkenhave ved Gråsten Slot"".","7,7 mio. kr.",2016
60,Sønderborg Kommune,"Sønderborg Kommune har modtaget 6,6 mio. kr. til anlæg af stisystemer og sceneområde i forbindelse med Spejdernes Lejr 2017.","6,6 mio. kr.",2016
61,Nord-Als Idrætscenter,"Idrætsfonden Nord-Als Idrætscenter har modtaget 2,5 mio. kr. til renovering af Nord-Als Idrætscenter.","2,5 mio. kr.",2016
62,Mads Clausen Instituttet,"Mads Clausen Instituttet har modtaget 1,0 mio. kr. til oprettelse af et Innovations Laboratorium for at undersøge og udbygge innovationspotentialet.","1,0 mio. kr.",2016
63,Green Water Research Projekt,"Green Water Research Projekt på SDU har modtaget 1,0 mio. kr. til et forundersøgelsesprojekt for udnyttelse af termisk energi i havvand til fjernvarme/fjernkøl.","1,0 mio. kr.",2016
64,Schackenborg Fonden 2016,Schackenborg Fonden har modtaget 750.000 kr. til vedligeholdelsesarbejder på slottet.,750000,2016
65,Schackenborg Fonden - arrangementer,Schackenborg Fonden har modtaget 350.000 kr. til udvikling og gennemførelse af arrangementer på Schackenborg Slot i 2016.,350000,2016
66,Strategiarbejde for Sønderborg Lufthavn,Sønderborg Kommune har modtaget 500.000 kr. til strategiarbejde for Sønderborg Lufthavn.,500000,2016
67,UdviklingsRåd Sønderjylland,UdviklingsRåd Sønderjylland (URS) har modtaget 300.000 kr. til aktiviteter i 2016.,300000,2016
68,Sønderborg Vækstråd 2016,Sønderborg Vækstråd har modtaget 300.000 kr. til øget indsats for iværksætteri i kommunen.,300000,2016
69,Descendenter Bitten og Mads Clausen,Descendenter efter Bitten & Mads Clausen har modtaget 408.000 kr. til uddannelsesstøtte.,408000,2016
70,Danfoss medarbejder,En Danfoss medarbejder har modtaget 40.000 kr. som støtte ved ekstraordinære omstændigheder.,40000,2016
71,Studerende ved Syddansk Universitet,"To studerende ved Syddansk Universitet har modtaget ""Engineering Tomorrow Award"" på 50.000 kr.",50000,2016
72,Fonden Universe Science Park,"Modtaget 59,4 mio. kr. til opgradering af faciliteter samt nyskabelser i parken for sæson 2017 og 2018, samt parkens løbende drift.","59,4 mio. kr.",2017
73,Project Zero Fonden,"Modtaget 6,2 mio. kr. til videreførelse af projektets aktiviteter fra 2018 til 2020.","6,2 mio. kr.",2017
74,Fabrikant Mads Clausens Fond,"Modtaget 5,0 mio. kr. til projekter omkring Danfoss A/S i Sønderjylland inden for uddannelse, helse, idræt og kultur.","5,0 mio. kr.",2017
75,Mads Clausen Instituttet,"Modtaget 2,3 mio. kr. til ansættelse af en innovationskonsulent i en 3-årig periode.","2,3 mio. kr.",2017
76,Idrætshøjskolen Sønderborg,"Modtaget 1,0 mio. kr. til renovering af skolens svømmehal, så den opfylder nye miljøkrav.","1,0 mio. kr.",2017
77,KATA Fonden,Modtaget 800 tkr. til yderligere styrkelse af organisationen bag LEAPS-projektet.,800 tkr.,2017
78,Foreningen Unge Forskere,Modtaget 703 tkr. til finansiering af overgangen til en ny struktur og målretning.,703 tkr.,2017
79,Schackenborg Fonden,Modtaget 600 tkr. til indretning af en gårdbutik i den tidligere hestestald.,600 tkr.,2017
80,Sønderborg Kommune,"Modtaget 335 tkr. til opførelse af et shelter kaldet ""Støvlen"" på Kær Halvø ved Sønderborg.",335 tkr.,2017
81,Descendenter Bitten & Mads Clausen,Modtaget 308 tkr. til uddannelsesstøtte.,308 tkr.,2017
82,Sønderborg Vækstråd,Modtaget 300 tkr. til en øget indsats for iværksætteri i kommunen.,300 tkr.,2017
83,Engineering Tomorrow Award,"To studerende fra Finland modtog tilsammen 75 tkr. i årets ""Engineering Tomorrow Award"".",75 tkr.,2017
84,Fonden Universe Science Park,"Modtaget 30,8 mio. kr. til opgradering af eksisterende faciliteter samt nyskabelser i parken for sæson 2018 og tilskud til drift","30,8 mio. kr.",2018
85,Fabrikant Mads Clausens Fond,"Modtaget 15,0 mio. kr. til projekter omkring Danfoss A/S i Sønderjylland inden for uddannelse, helse, idræt og kultur","15,0 mio. kr.",2018
86,Mommark Handelskostskole,"Modtaget 10,0 mio. kr. til opførelse af en multihal","10,0 mio. kr.",2018
87,Nord-Als Idrætscenter,"Modtaget 1,0 mio. kr. til renovering af Nord-Als Idrætscenter","1,0 mio. kr.",2018
88,Aabenraa Kommune,"Modtaget 1,0 mio. kr. til etablering af en Genforeningspark i Aabenraa","1,0 mio. kr.",2018
89,Kultur i Syd,Modtaget 940 tkr. som tilskud til gennemførelse af en større koncert i sommeren 2019,940 tkr.,2018
90,Project Zero Fonden,Modtaget 880 tkr. i tilskud til en VVM-redegørelse for kystnære havvindmøller,880 tkr.,2018
91,Sønderborg Vækstråd,Modtaget 600 tkr. til en øget indsats for iværksætteri i kommunen i 2018 og 2019,600 tkr.,2018
92,UdviklingsRåd Sønderjylland,Modtaget 300 tkr. til 2018 aktiviteter,300 tkr.,2018
93,Sønderborg Kommune,Modtaget 150 tkr. til en samfundsøkonomisk analyse i forbindelse med strategiarbejdet for Sønderborg Lufthavn,150 tkr.,2018
94,Sekretariatet for Genforeningen 2020,Modtaget 100 tkr. til udarbejdelse af en promotion-film i forbindelse med fejring af Genforeningen 2020,100 tkr.,2018
95,Fonden Universe Science Park,"Modtaget 39,8 mio. kr. til opgradering af faciliteter og nyskabelser i parken for sæson 2020 og tilskud til drift","39,8 mio. kr.",2019
96,Fabrikant Mads Clausens Fond,"Modtaget 15,0 mio. kr. til projekter omkring Danfoss A/S i Sønderjylland inden for uddannelse, helse, idræt og kultur","15,0 mio. kr.",2019
97,DTU Institut for management Engineering,"Modtaget 9,0 mio. kr. til fortsættelse af ”SE4ALL – Sustainable Energy for All” i FN-regi","9,0 mio. kr.",2019
98,Syddansk Universitet,"Modtaget 5,0 mio. kr. til et projekt om nye organiske solceller gennem industrielle ’R2R’ printprocesser","5,0 mio. kr.",2019
99,Genforeningssekretariatet,"Modtaget 4,3 mio. kr. til projekter i forbindelse med fejringen af Genforeningen i 2020","4,3 mio. kr.",2019
100,Deutsche Museum Nordslesvig,"Modtaget 4,0 mio. kr. til renovering og udbygning af museet for det tyske mindretal i Sønderborg","4,0 mio. kr.",2019
101,Als-Fyn Broen,"Modtaget 3,7 mio. kr. til promovering af Als-Fyn forbindelsen","3,7 mio. kr.",2019
102,Sønderborg Forsyningsservice,"Modtaget 3,4 mio. kr. til forundersøgelser af Havvindmølleprojektet i Lillebælt Syd","3,4 mio. kr.",2019
103,KATA Fonden 2019,"Modtaget 2,5 mio. kr. til fortsættelse af LEAPS-projektet","2,5 mio. kr.",2019
104,Schackenborg Fonden 2019,Modtaget 800 tkr. til undersøgelse af elevator på slottet og udvikling af en masterplan for turismeaktiviteter,800 tkr.,2019
105,UdviklingsRåd Sønderjylland 2019,Modtaget 600 tkr. til aktiviteter i 2019 og 2020,600 tkr.,2019
106,Kultur i Syd 2019,Modtaget 500 tkr. til gennemførelse af en større koncert i sommeren 2019,500 tkr.,2019
107,Royal Run,Modtaget 500 tkr. til gennemførelse af Royal Run i Sønderborg i 2020,500 tkr.,2019
108,Alsie Express 2019,Modtaget 375 tkr. til en arbejdsgruppe for at styrke Sønderborg som destination for kinesiske turister,375 tkr.,2019
109,Asserballe Private Børnehus,Modtaget 300 tkr. til udvidelse af Asserballe Børnehus,300 tkr.,2019
110,Dansk Design Center,Modtaget 270 tkr. til bogprojektet ’Expand the Future’ om brugercentreret innovation og design,270 tkr.,2019
111,Project Zero,Modtaget 110 tkr. til klimakonference i 2019,110 tkr.,2019
112,Vardemuseerne,Modtaget 100 tkr. til et ph.d.-projekt om Københavner plantagerne,100 tkr.,2019
113,Danfoss medarbejder,Modtaget 50 tkr. via politik for støtte til medarbejdere og deres familier ved ekstraordinære omstændigheder,50 tkr.,2019
114,Fonden Universe Science Park 2020,"Fonden Universe Science Park har modtaget 28,8 mio. kr. til en opgradering af eksisterende faciliteter samt nyskabelser i parken i sæson 2020.","28,8 mio. kr.",2020
115,Center for Industriel Mekanik,"Syddansk Universitet har modtaget 18,6 mio. kr. til oprettelse af et nyt Institut ""Center for Industriel Mekanik"".","18,6 mio. kr.",2020
116,Project Zero Business,"Project Zero Fonden har modtaget 11,0 mio. kr. til fortsættelse af projektets vision samt til det nye initiativ ""Project Zero Business"".","11,0 mio. kr.",2020
117,Fabrikant Mads Clausens Fond 2020,"Fabrikant Mads Clausens Fond har modtaget 10,0 mio. kr. til uddeling til projekter omkring Danfoss A/S i Sønderjylland inden for uddannelse, helse, idræt og kultur.","10,0 mio. kr.",2020
118,Alsie Express 2020,"Alsie Express har modtaget 8,0 mio. kr. som tilskud i forbindelse med luftfartens udfordringer som følge af COVID-19 pandemien.","8,0 mio. kr.",2020
119,Center for bæredygtighed,"Sønderborg Kommune har modtaget 7,5 mio. kr. til etablering af et center, der skal bakke op om FN’s 17 verdensmål. Centret etableres på Kær ved Sønderborg.","7,5 mio. kr.",2020
