,Year,Reciever,Grant size (DKK),Description,Project Category
6927,2013,"Huset Venture Nordjylland, Nordjylland",10.000 kr.,Førstehjælpskursus,GAMMELT
6928,2013,"Lønstrup/Vennebjerg og Skallerup kirker, Nordjylland",15.000 kr.,Førstehjælpskursus,GAMMELT
6929,2013,"Kommunal Institution, GIGANTIUM , Nordjylland",57.000 kr.,Førstehjælpskursus,GAMMELT
6930,2013,"Fonden for Thyborøn Kystcenter , Midtjylland",1.398.750 kr.,Badesikkerhed gir badesjov,GAMMELT
6931,2013,"Norsminde Kajakklub, Midtjylland",10.000 kr.,Førstehjælpskurser,GAMMELT
6932,2013,"Holmsland Friluftslaug, HGU 6950 Ringkøbing, Midtjylland",5.500 kr.,Sikkerhed i og med kajak,GAMMELT
6933,2013,"FDF Mejdal, Slåenvej 61, 7500 Holstebro, Midtjylland",10.000 kr.,Indkøb af redningsveste,GAMMELT
6934,2013,"Skive Kommunes Museum, Midtjylland",12.250 kr.,Redningsveste til Rent Liv,GAMMELT
6935,2013,"FDF 1. Kreds, Midtjylland",35.000 kr.,Uddannelse af kanoinstruktører,GAMMELT
6936,2013,"KFUM - spejderne Flemming gruppe, Midtjylland",5.500 kr.,Redningsveste,GAMMELT
6937,2013,"Skjernåskolen, Midtjylland",38.000 kr.,FUN2GO sofacykel,GAMMELT
6938,2013,"Viborg Sejlklub, Midtjylland",54.554 kr.,Flydebro til handicap-sejlads,GAMMELT
6939,2013,"Uhre Friskole, Midtjylland",20.000 kr.,Førstehjælp for alle,GAMMELT
